epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,2717.13,0.79772,0.36939,0.96332,0.99785,1,0.995,0.66614,1.31084,0.39061,1.27835,0.000239465,0.000239465,0.000239465
175,2732.83,0.79794,0.37054,0.95775,0.99783,1,0.995,0.66358,1.34361,0.41562,1.28953,0.000231213,0.000231213,0.000231213
176,2748.63,0.77525,0.37085,0.956,0.99785,1,0.995,0.66343,1.36514,0.40918,1.2916,0.000222961,0.000222961,0.000222961
177,2764.41,0.79793,0.37191,0.95824,0.99783,1,0.995,0.66545,1.31095,0.39541,1.26651,0.00021471,0.00021471,0.00021471
178,2779.87,0.76712,0.35992,0.93606,0.99767,1,0.995,0.65944,1.2958,0.38655,1.255,0.000206458,0.000206458,0.000206458
179,2795.62,0.77531,0.36823,0.94149,0.9968,1,0.995,0.6794,1.32656,0.39981,1.2772,0.000198206,0.000198206,0.000198206
180,2811.03,0.80482,0.36674,0.96359,0.99494,1,0.995,0.67007,1.3225,0.39398,1.28045,0.000189955,0.000189955,0.000189955
181,2826.84,0.80061,0.37574,0.95779,0.99781,1,0.995,0.66294,1.34519,0.39449,1.2928,0.000181703,0.000181703,0.000181703
182,2842.4,0.78452,0.37068,0.95511,0.99783,1,0.995,0.66093,1.34786,0.40273,1.29573,0.000173451,0.000173451,0.000173451
183,2860.71,0.7998,0.37002,0.95034,0.99537,1,0.995,0.66527,1.31817,0.38487,1.27446,0.0001652,0.0001652,0.0001652
184,2876.17,0.76359,0.36433,0.94141,0.99432,1,0.995,0.67215,1.30089,0.39946,1.26876,0.000156948,0.000156948,0.000156948
185,2891.76,0.79496,0.37908,0.94555,0.99455,1,0.995,0.65964,1.30455,0.40159,1.25765,0.000148696,0.000148696,0.000148696
